lagoslakeid,LakeID
29635,L3558
4417,L3559
4573,L3562
1666,L3564
6361,L3565
219,L3566
242,L3568
2890,L3570
4695,L3572
810,L3573
140681,L3574
41235,L3578
3222,L3583
8251,L3584
1809,L3585
7907,L3588
87883,L3589
7990,L3590
4756,L3593
4237,L3594
7672,L3595
8002,L3595
4194,L3596
6375,L3597
2871,L3598
76410,L3605
4069,L3609
3786,L3610
5438,L3611
729,L3613
7992,L3616
136659,L3617
7507,L3618
1820,L3619
137562,L3620
1440,L3621
1019,L3622
3665,L3623
2877,L3625
4626,L3626
8404,L3630
1457,L3631
7855,L3632
3949,L3633
3163,L3634
5053,L3635
815,L3636
2173,L3636
8358,L3637
4728,L3641
3200,L3642
7899,L3643
3848,L3644
5288,L3645
2594,L3647
4495,L3648
8472,L3649
4940,L3652
7531,L3655
8037,L3661
7519,L3664
99167,L3665
7504,L3666
3596,L3668
62988,L3669
31659,L3670
8145,L3671
2720,L3672
7979,L3674
7554,L3678
7660,L3681
7835,L3682
8412,L3683
4684,L3684
8330,L3686
5495,L3687
3716,L3688
156,L3689
7801,L3691
4879,L3692
35142,L3693
5063,L3694
1370,L3696
4340,L3697
57726,L3698
5112,L3699
25413,L3700
8239,L3703
8075,L3704
2794,L3705
8424,L3706
1037,L3707
8444,L3711
8500,L3712
6374,L3713
112562,L3716
8329,L3717
444,L3718
7989,L3719
8375,L3722
7637,L3723
1259,L3724
3817,L3727
5390,L3728
7886,L3729
8158,L3730
8042,L3731
2172,L3732
1831,L3733
7521,L3734
8313,L3736
8326,L3738
8357,L3739
338,L3742
698,L3743
7489,L3744
128366,L3746
8223,L3748
8033,L3749
21110,L3750
84727,L3751
4541,L3752
2158,L3753
697,L3754
239,L3755
2327,L3756
7776,L3757
8080,L3760
15849,L3761
111533,L3762
8461,L3763
42264,L3764
3572,L3765
67057,L3766
8394,L3767
74,L3768
4356,L3769
64,L3770
4813,L3772
7477,L3774
2268,L3775
8152,L3776
82605,L3777
40154,L3779
5450,L3780
16918,L3781
25549,L3782
8366,L3783
8116,L3784
3345,L3785
10783,L3787
3678,L3788
7905,L3790
7975,L3791
7998,L3792
7867,L3793
7753,L3794
3149,L3795
2763,L3796
8245,L3797
7726,L3798
7567,L3799
7575,L3800
7600,L3801
8213,L3802
6514,L3803
8256,L3804
114537,L3807
2622,L3808
8407,L3809
8088,L3810
8425,L3811
52621,L3812
742,L3813
695,L3815
47440,L3817
135553,L3818
127222,L3819
8324,L3820
7365,L3821
8179,L3822
8427,L3823
783,L3825
8008,L3826
2490,L3828
417,L3829
8325,L3830
902,L3831
8428,L3832
2304,L3833
2918,L3836
8000,L3837
8021,L3837
7752,L3838
105326,L3839
72107,L3840
8510,L3841
7565,L3842
4192,L3843
8410,L3844
3106,L3846
674,L3847
1886,L3849
4072,L3850
52571,L3853
8794,L3854
7516,L3856
8436,L3857
85805,L3858
103276,L3859
7816,L3860
1100,L3861
8403,L3862
8346,L3863
55609,L3864
8134,L3865
140806,L3866
49455,L3867
8416,L3868
8141,L3869
970,L3870
98211,L3871
96156,L3872
7534,L3873
1668,L3874
8068,L3875
8405,L3876
2147,L3877
2826,L3878
8517,L3879
4134,L3880
135637,L3881
1236,L3882
91,L3883
6527,L3884
3252,L3885
8155,L3886
4438,L3887
8490,L3888
4111,L3890
13859,L3891
109435,L3892
61840,L3893
457,L3895
7881,L3896
2256,L3898
1087,L3899
8364,L3900
7810,L3901
7773,L3906
5227,L3908
7523,L3909
3924,L3910
491,L3911
30579,L3911
2429,L3912
7488,L3913
3291,L3914
1371,L3915
8144,L3916
4540,L3918
2872,L3919
69034,L3920
1070,L3921
4623,L3922
7692,L3923
7834,L3923
7663,L3924
8456,L3925
4584,L3926
717,L3927
3474,L3929
8486,L3932
1545,L3933
4519,L3936
107505,L3937
37958,L3938
11808,L3939
5505,L3941
1066,L3942
3167,L3943
777,L3945
1069,L3946
8094,L3947
2219,L3950
6973,L3951
7904,L3952
199,L3954
3065,L3957
8483,L3959
7664,L3960
5333,L3961
3521,L3962
5364,L3963
709,L3964
7527,L3965
640,L3966
8513,L3968
2269,L3969
4781,L3970
60828,L3972
3220,L3973
4896,L3974
8048,L3975
48431,L3976
1023,L3977
7696,L3980
3468,L3981
93072,L3982
8396,L3984
840,L3985
3688,L3985
1472,L3986
7467,L3987
1431,L3988
5179,L3989
466,L3990
4332,L3991
4361,L3993
7892,L3994
5147,L3998
1430,L3999
2091,L4000
120935,L4001
7479,L4003
7954,L4004
8174,L4005
6362,L4006
8035,L4007
62969,L4008
158,L4009
588,L4010
2195,L4013
817,L4014
5198,L4016
8252,L4017
507,L4018
536,L4019
8493,L4020
2747,L4021
5564,L4022
8438,L4023
512,L4024
6363,L4025
4020,L4028
7628,L4029
953,L4031
4484,L4032
8188,L4034
3520,L4035
7747,L4036
7914,L4037
8264,L4037
8385,L4037
103,L4038
4239,L4039
468,L4040
7572,L4041
4337,L4042
