"","Lat","Lon","StudyID","UniqueLakeName","optional"
"466",68.02,24.2,"582","L8402",TRUE
"467",26.49,106.41,"591","L0290",TRUE
"468",26.55,106.38,"591","L0291",TRUE
"469",26.53,106.43,"591","L0291",TRUE
"470",26.56,106.36,"591","L0291",TRUE
"471",26.52,106.44,"591","L0291",TRUE
"472",26.54,106.65,"591","L0292",TRUE
"473",26.53,106.65,"591","L0292",TRUE
"474",26.55,106.42,"591","L0293",TRUE
"475",26.65,106.53,"591","L0297",TRUE
"476",26.67,106.55,"591","L0298",TRUE
"477",26.68,106.54,"591","L0298",TRUE
"478",-5.5,-38.45,"600","L0108",TRUE
"479",6.77,79.9,"608","L0200",TRUE
"480",40.65,-0.13,"614","L1722",TRUE
"481",40.68,-0.24,"614","L1733",TRUE
"482",40.91,-0.06,"614","L1833",TRUE
"483",40.94,-4.87,"614","L1846",TRUE
"484",41.09,-5.27,"614","L1938",TRUE
"485",41.1,-5.54,"614","L1944",TRUE
"486",41.11,-5.55,"614","L1952",TRUE
"487",41.13,-4.05,"614","L1967",TRUE
"488",41.21,-4.44,"614","L2012",TRUE
"489",41.26,-3.98,"614","L2059",TRUE
"490",41.26,-4.42,"614","L2061",TRUE
"491",41.29,-4,"614","L2083",TRUE
"492",41.32,-3.97,"614","L2111",TRUE
"493",41.45,-5.92,"614","L2222",TRUE
"494",41.64,-2.45,"614","L2361",TRUE
"495",41.66,-1.94,"614","L2371",TRUE
"496",41.76,-2.64,"614","L2441",TRUE
"497",41.96,-5.1,"614","L2590",TRUE
"498",42.17,-4.52,"614","L2735",TRUE
"499",42.19,-4.5,"614","L2751",TRUE
"500",42.33,-5.68,"614","L2835",TRUE
"501",42.38,-5.07,"614","L2861",TRUE
"502",42.42,-5.11,"614","L2888",TRUE
"503",42.48,-5.22,"614","L2923",TRUE
"504",42.5,-0.78,"614","L2936",TRUE
"505",42.5,-5.62,"614","L2937",TRUE
"506",42.51,-4.81,"614","L2942",TRUE
"507",42.52,-5.71,"614","L2949",TRUE
"508",42.52,-5.77,"614","L2950",TRUE
"509",42.53,-5.27,"614","L2953",TRUE
"510",61.7,28.9,"621","L8252",TRUE
"511",61.9,28.79,"621","L8254",TRUE
"512",62.1,28.47,"621","L8257",TRUE
"513",62.15,29.39,"621","L8260",TRUE
"514",62.27,29.4,"621","L8264",TRUE
"515",62.53,29.71,"621","L8268",TRUE
"516",62.83,27.75,"621","L8272",TRUE
"517",63,27.9,"621","L8294",TRUE
"518",-35.83,-57.88,"630","L0038",TRUE
"519",36.62,-6.04,"637","L0798",TRUE
"520",48.85,-121.69,"646","L7820",TRUE
"521",48.86,-121.67,"646","L7821",TRUE
"522",48.86,-121.67,"646","L7822",TRUE
"523",38.02,30.87,"649","L0990",TRUE
"524",45.93,-89.45,"654","L5796",TRUE
"525",45.05,-82.49,"669","L3185",TRUE
"526",43.63,-77.83,"669","L3277",TRUE
"527",47.72,-86.94,"669","L6915",TRUE
"528",34.79,126.46,"671","L0643",TRUE
"529",35.07,127.25,"671","L0671",TRUE
"530",-0.76,33.44,"682","L0149",TRUE
"531",-0.57,30.99,"682","L0152",TRUE
"532",0.02,30.18,"682","L0154",TRUE
"533",0.52,30.3,"682","L0155",TRUE
"534",0.7,30.22,"682","L0157",TRUE
"535",1.67,30.95,"682","L0161",TRUE
"536",46.43,6.55,"688","L6248",TRUE
"537",39.33,-0.33,"690","L1316",TRUE
"538",68.79,26.52,"702","L8410",TRUE
"539",68.84,26.94,"702","L8411",TRUE
"540",68.87,27,"702","L8412",TRUE
"541",68.87,27.02,"702","L8413",TRUE
"542",68.95,26.74,"702","L8414",TRUE
"543",68.95,26.74,"702","L8415",TRUE
"544",69.02,27.03,"702","L8416",TRUE
"545",69.06,27.25,"702","L8418",TRUE
"546",69.07,27.27,"702","L8419",TRUE
"547",69.16,27.26,"702","L8421",TRUE
"548",69.17,27.26,"702","L8422",TRUE
"549",69.31,27.21,"702","L8423",TRUE
"550",69.4,27.26,"702","L8424",TRUE
"551",69.56,27.23,"702","L8426",TRUE
"552",69.57,27.32,"702","L8427",TRUE
"553",69.58,27.33,"702","L8428",TRUE
"554",69.64,27.14,"702","L8429",TRUE
"555",69.68,27.08,"702","L8430",TRUE
"556",69.78,27.02,"702","L8431",TRUE
"557",69.84,26.95,"702","L8433",TRUE
"558",69.85,26.95,"702","L8434",TRUE
"559",69.88,26.93,"702","L8435",TRUE
"560",69.89,26.95,"702","L8436",TRUE
"561",69.9,26.98,"702","L8437",TRUE
"562",69.91,27.07,"702","L8438",TRUE
"563",45.16,10.75,"718","L4890",TRUE
"564",52.27,16.78,"721","L7916",TRUE
"565",30.24,114.45,"740","L0371",TRUE
"566",30.49,114.38,"740","L0381",TRUE
"567",30.56,114.4,"740","L0382",TRUE
"568",30.54,114.35,"740","L0387",TRUE
"569",44.46,-79.34,"761","L3852",TRUE
"570",-35.59,-58.06,"771","L0043",TRUE
"571",30.93,119.83,"773","L0402",TRUE
"572",43.45,-87.22,"774","L2711",TRUE
"573",47.84,-117.85,"777","L7613",TRUE
"574",30.41,-91.17,"780","L0376",TRUE
"575",-20.47,-40.92,"781","L0083",TRUE
"576",-20.08,-53.17,"781","L0084",TRUE
"577",-19.95,-54.89,"781","L0085",TRUE
"578",-19.02,-50.49,"781","L0086",TRUE
"579",-18.5,-49.49,"781","L0088",TRUE
"580",-17.99,-48.53,"781","L0092",TRUE
"581",-15.35,-49.81,"781","L0095",TRUE
"582",-13.83,-48.3,"781","L0096",TRUE
"583",-13.5,-48.13,"781","L0097",TRUE
"584",-5.75,-43.08,"781","L0107",TRUE
"585",39.51,-91.77,"782","L1374",TRUE
"586",54.7,17.17,"787","L8052",TRUE
"587",33.37,43.35,"793","L0542",TRUE
"588",39.85,-86.3,"797","L1488",TRUE
